,March_1,March_2,April,May,Week46,Week47 ,Week48,Week49,Week50,Week51,Week52,Week53
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.54588792,0.54588792,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.69453412,0.69453412,0,0,0,0,0,0,0,0,0
5,0,0.681620017,0,0,0,0,0,0,0,0,0,0
6,0,0.066182391,0.066182391,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.044361828,0.044361828,0,0,0,0,0,0,0,0,0
9,0,0.54672599,0.54672599,0,0,0,0,0,0,0,0,0
10,0,0.73758583,0.73758583,0,0,0,0,0,0,0,0,0
11,0,0.760761006,0.734443527,0,0,0,0,0,0,0,0,0
12,0,0.551755103,0.313870732,0,0,0,0,0,0,0,0,0
13,0,0.459326813,0.459326813,0,0,0,0,0,0,0,0,0
14,0,0.590853891,0.590853891,0,0,0,0,0,0,0,0,0
15,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
16,0,0.383324288,0.375654743,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0.512432302,0.509601866,0,0,0,0,0,0,0,0,0
19,0.18475396,0.383670484,0.374313651,0.163136173,0.127330799,0.127330799,0.127330799,0,0,0,0,0.127330799
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0.635281917,0.73809138,0.643378443,0.695874581,0.619015745,0.619015745,0.619015745,0.619015745,0.619015745,0,0,0.619015745
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.2160063,0.2160063,0,0,0,0,0,0,0,0,0
27,0,0.106403055,0.042927992,0.019088951,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0
31,0.607169174,0.8350095,0.8350095,0.8350095,0.408576392,0.408576392,0.408576392,0.408576392,0.408576392,0.408576392,0.408576392,0.408576392
32,0.616777684,0.802654963,0.6733763,0.616777684,0.616777684,0.616777684,0.616777684,0,0,0,0,0.616777684
33,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0.618188,0.618188,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0.598750393,0.598750393,0,0,0,0,0,0,0,0,0
37,0,0.744125037,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0.362770829,0.362770829,0,0,0,0,0,0,0,0,0
42,0,0.7649921,0.7649921,0,0,0,0,0,0,0,0,0
43,0,0.7649921,0.743246562,0,0,0,0,0,0,0,0,0
44,0,0.6352941,0.076102939,0,0,0,0,0,0,0,0,0
45,0,0.321802727,0.321802727,0,0,0,0,0,0,0,0,0
46,0,0.6352941,0.6352941,0,0,0,0,0,0,0,0,0
47,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
48,0,0.520918997,0.520918997,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0.592514438,0.575438114,0,0,0,0,0,0,0,0,0
51,0.206475033,0.323520981,0.317981383,0.185782971,0.138896785,0.138896785,0.138896785,0.138896785,0,0,0,0.138896785
52,0,0,0,0,0,0,0,0,0,0,0,0
