"","Week","Piemonte","Aosta","Lombardia","Trentino","Veneto","Friuli","Liguria","Emilia","Toscana","Umbria","Marche","Lazio","Abruzzo","Molise","Campania","Puglia","Basilicata","Calabria","Sicilia","Sardegna"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,-0.13483,0.04207,-0.28296,-0.19244,-0.30054,-0.32883,-0.21938,-0.24938,-0.23217,-0.18554,-0.20122,-0.16977,-0.11372,-0.12263,-0.11846,-0.11726,-0.10102,-0.05633,-0.0504,-0.10448
"10",10,-0.109267142857143,-0.0413714285714286,-0.169361428571429,-0.0425114285714286,-0.0969742857142857,-0.0829971428571429,-0.0870442857142857,-0.124121428571429,-0.0884514285714286,-0.0921414285714286,-0.121347142857143,-0.0906471428571429,-0.0771785714285714,-0.0975371428571429,-0.102625714285714,-0.0913814285714286,-0.0934285714285714,-0.0930057142857143,-0.09055,-0.0707628571428571
"11",11,-0.449704285714286,-0.397628571428571,-0.492335714285714,-0.374435714285714,-0.41539,-0.401484285714286,-0.43601,-0.419691428571429,-0.441802857142857,-0.418637142857143,-0.447325714285714,-0.478597142857143,-0.456702857142857,-0.406587142857143,-0.485842857142857,-0.431322857142857,-0.399827142857143,-0.443741428571429,-0.449911428571429,-0.437688571428571
"12",12,-0.604127142857143,-0.570965714285714,-0.640957142857143,-0.588287142857143,-0.594442857142857,-0.584332857142857,-0.601368571428571,-0.580507142857143,-0.603854285714286,-0.59447,-0.621157142857143,-0.652668571428571,-0.627061428571429,-0.570462857142857,-0.660322857142857,-0.601677142857143,-0.569147142857143,-0.623122857142857,-0.632364285714286,-0.600607142857143
"13",13,-0.671597142857143,-0.639684285714286,-0.70163,-0.636314285714286,-0.65669,-0.64421,-0.658424285714286,-0.657615714285714,-0.670911428571429,-0.658575714285714,-0.697057142857143,-0.694344285714286,-0.691928571428571,-0.648411428571429,-0.698981428571429,-0.655715714285714,-0.635804285714286,-0.665561428571429,-0.671381428571429,-0.634641428571429
"14",14,-0.664872857142857,-0.636087142857143,-0.695827142857143,-0.637375714285714,-0.658374285714286,-0.64766,-0.64497,-0.649937142857143,-0.659254285714286,-0.641355714285714,-0.682762857142857,-0.6757,-0.66963,-0.624375714285714,-0.679354285714286,-0.636387142857143,-0.617501428571429,-0.641857142857143,-0.64965,-0.617707142857143
